# SDWIS MI Active CWS to County Crosswalk
# Generated as a one-shot from EPA-published SDWA bulk download.
# Source zip: https://echo.epa.gov/files/echodownloads/SDWA_latest_downloads.zip
# File last-modified: 2026-04-08
# Snapshot: SUBMISSIONYEARQUARTER = 2026Q1
# Authoring date: 2026-06-27
#
# Filter: PRIMACY_AGENCY_CODE=MI; PWS_ACTIVITY_CODE=A; PWS_TYPE_CODE=CWS;
#         AREA_TYPE_CODE=CN; ANSI_ENTITY_CODE matches Michigan county FIPS
#
# Conservation check:
#   active MI CWS total                      : 1377
#   distinct PWSIDs with >=1 county row      : 1377
#   distinct PWSIDs unmappable               : 0
#   mapped + unmappable                      : 1377 (== total, ok)
#   crosswalk rows (PWS-county pairs)        : 1378
#   multi-county PWS (rows duplicate PWSID)  : 1
#
# Caveats from the findings doc (sdwis-feasibility.md):
#   1. Denominator universe for the (c) metric is MI residents on a
#      community water system (~7.43M), NOT all MI residents (~10.14M).
#   2. The "active" violation-status pairing (Unaddressed + Addressed) is
#      AccessMI methodology, not EPA-attributable. See findings doc Q3.
#   3. Multi-county PWS need an apportionment rule chosen by the
#      integration PR. One PWS (MI0005970 SCHOOLCRAFT) is flagged below
#      via is_multi_county=true and appears as 2 rows.
#
# This file does not render in the app. No source-count change. No tile.
pwsid,pws_name,population_served,county_fips,county_name,is_multi_county
MI0040041,BALTIMORE TERRACE,155,015,Barry,false
MI0040042,BARRY'S RESORT,125,015,Barry,false
MI0040044,GUN LAKE MOBILE HOME COMMUNITY,148,015,Barry,false
MI0040045,DUNLOPS ORCHARD PARK,65,015,Barry,false
MI0040046,GUERNSEY LAKE MOBILE HOME COMMUNITY,100,015,Barry,false
MI0040047,THORNAPPLE LAKE ESTATES,538,015,Barry,false
MI0040585,YANKEE SPRINGS MEADOWS,710,015,Barry,false
MI0060425,THORNAPPLE MANOR,328,015,Barry,false
MI0000300,AUBURN,2087,017,Bay,false
MI0000390,BANGOR TOWNSHIP,11999,017,Bay,false
MI0000400,BANGOR-MONITOR METRO DISTRICT,2971,017,Bay,false
MI0000465,BAY AREA WATER SYSTEM,0,017,Bay,false
MI0000470,"BAY CITY, CITY OF",32255,017,Bay,false
MI0000485,BAY CO. DEPT OF WATER & SEWER,8465,017,Bay,false
MI0000517,BEAVER ROAD AREA WATER ASSOC.,829,017,Bay,false
MI0000518,BEAVER TOWNSHIP,1211,017,Bay,false
MI0002180,"ESSEXVILLE, CITY OF",3478,017,Bay,false
MI0002410,FRANKENLUST TOWNSHIP,3626,017,Bay,false
MI0002465,FRASER TOWNSHIP,1226,017,Bay,false
MI0002960,HAMPTON TOWNSHIP,9652,017,Bay,false
MI0003565,KAWKAWLIN TOWNSHIP,3170,017,Bay,false
MI0003570,KAWKAWLIN METRO DIST WATER SUP,1480,017,Bay,false
MI0003910,LINWOOD METROPOLITAN DISTRICT,909,017,Bay,false
MI0004280,MERRITT TOWNSHIP,1474,017,Bay,false
MI0004440,MONITOR TOWNSHIP,5217,017,Bay,false
MI0005330,"PINCONNING, CITY OF",1204,017,Bay,false
MI0005335,PINCONNING TOWNSHIP,1479,017,Bay,false
MI0005540,PORTSMOUTH TOWNSHIP,535,017,Bay,false
MI0007125,WILLIAMS TOWNSHIP,5444,017,Bay,false
MI0000610,BENZONIA VILLAGE OF,511,019,Benzie,false
MI0000680,"BEULAH, VILLAGE OF",380,019,Benzie,false
MI0001015,BUTTERCUP SHORES,40,019,Benzie,false
MI0001694,CRYSTAL RIDGE CONDOMINIUM ASSOCIATION,80,019,Benzie,false
MI0001715,CRYSTAL HIGHLANDS SUBDIVISION,50,019,Benzie,false
MI0001716,CRYSTAL MOUNTAIN RESORT & SPA,700,019,Benzie,false
MI0002080,"ELBERTA, VILLAGE OF",372,019,Benzie,false
MI0002430,"FRANKFORT, CITY OF",1286,019,Benzie,false
MI0006590,"THOMPSONVILLE, VILLAGE OF",438,019,Benzie,false
MI0040051,BUENA VISTA ESTATES,79,019,Benzie,false
MI0000210,ANDREWS UNIVERSITY,3000,021,Berrien,false
MI0000420,BARODA,910,021,Berrien,false
MI0000600,BENTON HARBOR,9103,021,Berrien,false
MI0000605,BENTON CHARTER TOWNSHIP,6768,021,Berrien,false
MI0000650,BERRIEN SPRINGS,1910,021,Berrien,false
MI0000850,BRIDGMAN,2096,021,Berrien,false
MI0000960,BUCHANAN,4871,021,Berrien,false
MI0001325,CHALET DU PAW PAW CONDOMINIUMS,95,021,Berrien,false
MI0001400,CHIKAMING TOWNSHIP,2825,021,Berrien,false
MI0001530,COLOMA,1555,021,Berrien,false
MI0001535,COLOMA CHARTER TOWNSHIP,1425,021,Berrien,false
MI0001655,COUNTRY ACRES HOMEOWNERS ASSOCIATION,180,021,Berrien,false
MI0001657,COUNTRY VIEW MANOR CONDOS,62,021,Berrien,false
MI0002030,EAU CLAIRE,610,021,Berrien,false
MI0002730,GRAND BEACH,272,021,Berrien,false
MI0003726,SOUTHWEST MICHIGAN REGIONAL SANITARY SEW,26780,021,Berrien,false
MI0003737,LAKE POINTE CONDOMINIUMS,74,021,Berrien,false
MI0003741,LAKE CHARTER TOWNSHIP,4177,021,Berrien,false
MI0004095,RIVERFRONT CONDOS OF NILES,90,021,Berrien,false
MI0004320,MICHIANA,182,021,Berrien,false
MI0004680,NEW BUFFALO,1900,021,Berrien,false
MI0004685,NEW BUFFALO TOWNSHIP,2845,021,Berrien,false
MI0004740,NILES,14215,021,Berrien,false
MI0004750,NILES TOWNSHIP,2270,021,Berrien,false
MI0005034,ORONOKO TOWNSHIP,1610,021,Berrien,false
MI0005549,LAKE MICHIGAN BEACH RESORT POTTAWATTAMIE,80,021,Berrien,false
MI0005692,RIVERBROOKE HOMEOWNERS ASSOCIATION,37,021,Berrien,false
MI0006042,SHERWOOD SHORES CONDOMINIUMS,90,021,Berrien,false
MI0006079,SODUS TOWNSHIP,1,021,Berrien,false
MI0006310,ST JOSEPH,7930,021,Berrien,false
MI0006600,THREE OAKS,1622,021,Berrien,false
MI0006627,BEECHWOOD HILLS - TIMBER RIDGE,160,021,Berrien,false
MI0006930,WATERVLIET,2735,021,Berrien,false
MI0007067,WHITE OAKS CONDOMINIUMS,45,021,Berrien,false
MI0040057,HILLS HAVEN MOBILE HOME PARK,235,021,Berrien,false
MI0040060,SOUTHTOWN MHP,160,021,Berrien,false
MI0040061,MEADOW STREAMS ESTATES,293,021,Berrien,false
MI0040062,PAW PAW LAKE MH PARK,122,021,Berrien,false
MI0040065,RIVERSIDE ESTATES,218,021,Berrien,false
MI0040067,ONTARIO PLACE,248,021,Berrien,false
MI0060640,COREWELL HEALTH-BERRIEN CNTR,90,021,Berrien,false
MI0000910,BRONSON,2421,023,Branch,false
MI0001500,COLDWATER,13822,023,Branch,false
MI0003742,LAKESIDE ESTATES SUBDIVISION,125,023,Branch,false
MI0004778,ARBOR VIEW,100,023,Branch,false
MI0005580,QUINCY,1544,023,Branch,false
MI0006720,UNION CITY,1630,023,Branch,false
MI0040068,CAMBRIDGE VILLAGE,80,023,Branch,false
MI0040069,GRAND VILLAGE MOBILE HOME PARK,50,023,Branch,false
MI0040070,COUNTRYSIDE MOBILE COURT,60,023,Branch,false
MI0040071,MARBLE LAKE RESORT & MARINA,72,023,Branch,false
MI0040074,AVRA ESTATES,87,023,Branch,false
MI0040075,LAKECREST MOBILE COURT,52,023,Branch,false
MI0040076,SOMERSET MOBILE HOME PARK,64,023,Branch,false
MI0000100,ALBION,9144,025,Calhoun,false
MI0000260,ATHENS,956,025,Calhoun,false
MI0000450,BATTLE CREEK - VERONA SYSTEM,43975,025,Calhoun,false
MI0002125,EMMETT TOWNSHIP,2550,025,Calhoun,false
MI0003220,HOMER,1668,025,Calhoun,false
MI0004150,MARSHALL,7088,025,Calhoun,false
MI0004760,PENNFIELD TOWNSHIP,3916,025,Calhoun,false
MI0005232,PENNFIELD TWP-CONVIS/VERONA,1,025,Calhoun,false
MI0006240,SPRINGFIELD,3833,025,Calhoun,false
MI0006562,TEKONSHA,722,025,Calhoun,false
MI0040079,NP CREEK VALLEY SOUTH,245,025,Calhoun,false
MI0040080,BEDFORD HILLS,850,025,Calhoun,false
MI0040081,BELLEVUE MOBILE HOME PARK,190,025,Calhoun,false
MI0040082,BIRCHWOOD ESTATES,168,025,Calhoun,false
MI0040084,HICKORY HILLS,708,025,Calhoun,false
MI0040086,PHOENIX MOBILE HOME COURT,82,025,Calhoun,false
MI0040090,TWIN PINES MOBILE HOME PARK,182,025,Calhoun,false
MI0040091,MY PLACE AT TWIN VALLEY,88,025,Calhoun,false
MI0040655,NP CREEK VALLEY NORTH,170,025,Calhoun,false
MI0000347,BAIR LAKE BIBLE CAMP,372,027,Cass,false
MI0000418,BARN SWALLOW APARTMENTS,50,027,Cass,false
MI0001250,CASSOPOLIS,1815,027,Cass,false
MI0001552,COLONY BAY CONDOMINIUMS,75,027,Cass,false
MI0001860,DOWAGIAC,6350,027,Cass,false
MI0001910,AUTUMN HILLS,50,027,Cass,false
MI0001925,EAGLE LAKE CONDOMINIUMS,26,027,Cass,false
MI0002077,EDWARDSBURG,1260,027,Cass,false
MI0004070,MARCELLUS,1198,027,Cass,false
MI0005234,CASS COUNTY WATER SYSTEM,1350,027,Cass,false
MI0040092,BARRON LAKE/ROSEBUSH,114,027,Cass,false
MI0040093,C & M MOBILE HOME COURT,70,027,Cass,false
MI0040094,COLONIAL ACRES,265,027,Cass,false
MI0040098,LINDEN MOBILE HOME PARK,92,027,Cass,false
MI0040100,MARLIN VILLAGE MOBILE HOME PARK,95,027,Cass,false
MI0040103,EAGLE LAKE ESTATES MHP,230,027,Cass,false
MI0040104,RUSTIC ACRES PARK,108,027,Cass,false
MI0040105,WHITE PINES MOBILE HOME PARK,90,027,Cass,false
MI0040598,COUNTRY VIEW MOBILE HOME COMMUNITY,55,027,Cass,false
MI0000800,"BOYNE CITY, CITY OF",3735,029,Charlevoix,false
MI0000810,"BOYNE FALLS, VILLAGE OF",370,029,Charlevoix,false
MI0000815,BOYNE MOUNTAIN RESORT,950,029,Charlevoix,false
MI0001330,CHARLEVOIX,3124,029,Charlevoix,false
MI0001335,CHARLEVOIX TOWNSHIP,1700,029,Charlevoix,false
MI0001970,"EAST JORDAN, CITY OF",2215,029,Charlevoix,false
MI0003115,HEMINGWAY POINTE CLUB OWNERS ASSOCIATION,250,029,Charlevoix,false
MI0003165,HILLS OF WALLOON ASSOCIATION,87,029,Charlevoix,false
MI0003229,HORTON BAY CLUB,60,029,Charlevoix,false
MI0003452,ISLANDVIEW HOME OWNERS ASSOCIATION,54,029,Charlevoix,false
MI0004215,"MELROSE-CHANDLER WATER, LLC",261,029,Charlevoix,false
MI0004753,NINE MILE POINTE,50,029,Charlevoix,false
MI0005150,OYSTER POINTE CONDOMINIUMS,30,029,Charlevoix,false
MI0006081,"SOMMERSET WATER WORKS, INC.",75,029,Charlevoix,false
MI0006803,VILLA NOUVA ASSOCIATION,72,029,Charlevoix,false
MI0006880,WALLOON LAKE WATER SYSTEM,399,029,Charlevoix,false
MI0007105,WILDWOOD ON WALLOON ASSOCIATION,90,029,Charlevoix,false
MI0040106,LAKE MICHIGAN HEIGHTS,270,029,Charlevoix,false
MI0001005,BURT VIEW ASSOCIATION,42,031,Cheboygan,false
MI0001360,"CHEBOYGAN, CITY OF",5500,031,Cheboygan,false
MI0003980,"MACKINAW CITY, VILLAGE OF",897,031,Cheboygan,false
MI0005425,POINT NIPIGON RESORT,173,031,Cheboygan,false
MI0006115,SOUTH POINTE I APARTMENTS,32,031,Cheboygan,false
MI0006116,SOUTH POINTE II APARTMENTS,48,031,Cheboygan,false
MI0006117,SOUTH POINTE III APARTMENTS,32,031,Cheboygan,false
MI0006484,SUNSET BEACH ASSOCIATION,29,031,Cheboygan,false
MI0040108,INDIAN RIVER MHP,28,031,Cheboygan,false
MI0040110,TOWN AND COUNTRY MHP,85,031,Cheboygan,false
MI0000880,SUPERIOR TOWNSHIP,767,033,Chippewa,false
MI0001795,DETOUR,325,033,Chippewa,false
MI0001865,DRUMMOND ISLAND APARTMENTS,50,033,Chippewa,false
MI0003630,KINROSS TOWNSHIP,5300,033,Chippewa,false
MI0005844,RUDYARD TOWNSHIP,250,033,Chippewa,false
MI0005950,SAULT STE MARIE,14689,033,Chippewa,false
MI0001420,"CLARE, CITY OF",3118,035,Clare,false
MI0002250,"FARWELL, VILLAGE OF",871,035,Clare,false
MI0003030,"HARRISON, CITY OF",1100,035,Clare,false
MI0060238,NORTH WOODS NURSING CENTER,71,035,Clare,false
MI0000716,BINGHAM TOWNSHIP,25,037,Clinton,false
MI0002120,"ELSIE, VILLAGE OF",966,037,Clinton,false
MI0002390,"FOWLER, VILLAGE OF",1136,037,Clinton,false
MI0003857,DIVINE LIFE OF DEWITT,39,037,Clinton,false
MI0004060,"MAPLE RAPIDS, VILLAGE OF",643,037,Clinton,false
MI0005100,"OVID, CITY OF",1612,037,Clinton,false
MI0006300,"ST. JOHNS, CITY OF",7896,037,Clinton,false
MI0007050,"WESTPHALIA, VILLAGE OF",925,037,Clinton,false
MI0040116,DUTCH HILLS,620,037,Clinton,false
MI0040119,CREEKSIDE MEADOWS OF ST. JOHNS,387,037,Clinton,false
MI0040599,CADGEWITH FARMS,344,037,Clinton,false
MI0040675,CAPITAL CROSSINGS,345,037,Clinton,false
MI0000513,BEAVER CREEK-GRAYLING TOWNSHIPS UA,25,039,Crawford,false
MI0002840,"GRAYLING, CITY OF",1884,039,Crawford,false
MI0040620,HARTWICK PINES ESTATES,75,039,Crawford,false
MI0001253,CEDAR HILL ASSISTED LIVING,45,041,Delta,false
MI0002170,ESCANABA,12941,041,Delta,false
MI0002350,FORD RIVER TOWNSHIP,385,041,Delta,false
MI0002540,GARDEN,270,041,Delta,false
MI0002640,GLADSTONE,4632,041,Delta,false
MI0004063,MAPLE RIDGE TOWNSHIP,250,041,Delta,false
MI0004173,RAPID RIVER HOUSING COMMISSION,25,041,Delta,false
MI0004600,NAHMA TOWNSHIP,95,041,Delta,false
MI0001980,BREITUNG TWP.-EAST KINGSFORD,1200,043,Dickinson,false
MI0003400,IRON MOUNTAIN,7500,043,Dickinson,false
MI0003640,KINGSFORD,5480,043,Dickinson,false
MI0004860,NORWAY,3314,043,Dickinson,false
MI0005590,QUINNESEC,1200,043,Dickinson,false
MI0040515,RIVERSBEND MOBILE HOME PARK,180,043,Dickinson,false
MI0040516,WHITE BIRCH MOBILE HOME VILLAGE,250,043,Dickinson,false
MI0000590,"BELLEVUE, VILLAGE OF",1282,045,Eaton,false
MI0000795,"BLUE WATER VILLAGE WELL SITE, LLC",114,045,Eaton,false
MI0001340,"CHARLOTTE, CITY OF",9074,045,Eaton,false
MI0001790,CHARTER TOWNSHIP OF DELTA,21856,045,Eaton,false
MI0002020,"EATON RAPIDS, CITY OF",5340,045,Eaton,false
MI0002025,EATON GREEN ESTATES SUBDIVISION,363,045,Eaton,false
MI0002770,"GRAND LEDGE, CITY OF",8701,045,Eaton,false
MI0002785,GRAND POINTE SUBDIVISION,219,045,Eaton,false
MI0004428,MISTY COVE SENIOR APARTMENTS,66,045,Eaton,false
MI0004990,"OLIVET, CITY OF",1758,045,Eaton,false
MI0005550,"POTTERVILLE, CITY OF",2617,045,Eaton,false
MI0006470,"SUNFIELD, VILLAGE OF",680,045,Eaton,false
MI0006790,"VERMONTVILLE, VILLAGE OF",780,045,Eaton,false
MI0040122,HI-WAY MOBILE HAVEN,168,045,Eaton,false
MI0040123,MAPLE KNOLL,90,045,Eaton,false
MI0040124,WINDSOR ESTATES,718,045,Eaton,false
MI0063477,DIMONDALE HEALTH CARE CENTER,177,045,Eaton,false
MI0000242,ARTESIAN SPRINGS RV RESORT,61,047,Emmet,false
MI0000490,BAY VIEW ASSOCIATION,831,047,Emmet,false
MI0000505,BEAR CREEK ESTATES CONDOMINIUM,210,047,Emmet,false
MI0000725,BIRCHWOOD FARMS,1227,047,Emmet,false
MI0000799,BOYNAIRE LANDOWNERS ASSOCIATION,54,047,Emmet,false
MI0000813,HIGHLANDS AT HARBOR SPRINGS,450,047,Emmet,false
MI0001256,CECIL FARMS,200,047,Emmet,false
MI0001666,CROOKED RIVER APARTMENTS,32,047,Emmet,false
MI0002079,EL RANCHO ALANSON,274,047,Emmet,false
MI0002403,FOXFIELD APARTMENTS,65,047,Emmet,false
MI0002944,HAMLET VILLAGE CONDOMINIUMS ASSOCIATION,126,047,Emmet,false
MI0002945,HAMLET WEST PROPERTY OWNERS ASSOC,133,047,Emmet,false
MI0003005,HARBOR HILLS SUBDIVISION ASSOCIATION,65,047,Emmet,false
MI0003010,"HARBOR SPRINGS, CITY OF",1194,047,Emmet,false
MI0003015,HARBOR SPRINGS AREA AUTHORITY,303,047,Emmet,false
MI0003132,HIDDEN HAMLET ASSOCIATION,465,047,Emmet,false
MI0003225,HOMESTEAD PINES HOMEOWNERS' ASSOCIATION,84,047,Emmet,false
MI0003362,INLAND HOUSE CONDOMINIUM ASSOCIATION,90,047,Emmet,false
MI0003545,KALCHIK ESTATES,147,047,Emmet,false
MI0003685,L'ARBRE CROCHE CLUB,330,047,Emmet,false
MI0003744,LAKESIDE CLUB CONDOMINIUMS,210,047,Emmet,false
